starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:16:07 2013	1381853767	4	648	652	646
Tue Oct 15 17:16:07 2013	1381853767	24	701	725	701
Tue Oct 15 17:16:07 2013	1381853767	2	787	789	770
Tue Oct 15 17:16:07 2013	1381853767	40	757	798	757
Tue Oct 15 17:16:07 2013	1381853767	51	749	801	749
Tue Oct 15 17:16:07 2013	1381853767	14	791	805	791
Tue Oct 15 17:16:07 2013	1381853767	32	785	817	768
Tue Oct 15 17:16:07 2013	1381853767	15	808	823	799
Tue Oct 15 17:16:07 2013	1381853767	40	785	826	770
Tue Oct 15 17:16:07 2013	1381853767	67	759	826	759
Tue Oct 15 17:16:07 2013	1381853767	24	810	834	801
Tue Oct 15 17:16:07 2013	1381853767	24	814	838	814
Tue Oct 15 17:16:07 2013	1381853767	6	838	844	830
Tue Oct 15 17:16:07 2013	1381853767	51	814	865	814
Tue Oct 15 17:16:07 2013	1381853767	1	892	894	891
Tue Oct 15 17:16:07 2013	1381853767	59	849	908	841
Tue Oct 15 17:16:07 2013	1381853767	51	875	926	867
Tue Oct 15 17:16:07 2013	1381853767	15	913	927	913
Tue Oct 15 17:16:07 2013	1381853767	51	904	955	904
Tue Oct 15 17:16:07 2013	1381853767	40	928	968	917
Tue Oct 15 17:16:25 2013	1381853785	0	1015	1015	1015
Tue Oct 15 17:16:26 2013	1381853786	0	1108	1108	1108
Tue Oct 15 17:16:07 2013	1381853767	67	1074	1141	1074
Tue Oct 15 17:16:25 2013	1381853785	0	1144	1144	1143
Tue Oct 15 17:16:25 2013	1381853785	0	1217	1217	1217
Tue Oct 15 17:16:25 2013	1381853785	0	1242	1242	1242
Tue Oct 15 17:16:08 2013	1381853768	0	1267	1267	1267
Tue Oct 15 17:16:25 2013	1381853785	0	1267	1267	1267
Tue Oct 15 17:16:25 2013	1381853785	0	1279	1279	1279
Tue Oct 15 17:16:25 2013	1381853785	0	1280	1280	1280
Tue Oct 15 17:16:08 2013	1381853768	0	1286	1286	1286
Tue Oct 15 17:16:25 2013	1381853785	0	1295	1295	1295
Tue Oct 15 17:16:25 2013	1381853785	0	1331	1331	1315
Tue Oct 15 17:16:08 2013	1381853768	0	1337	1337	1337
Tue Oct 15 17:16:09 2013	1381853769	0	1381	1381	1378
Tue Oct 15 17:16:25 2013	1381853785	0	1421	1421	1421
Tue Oct 15 17:16:07 2013	1381853767	67	1399	1467	1399
Tue Oct 15 17:16:25 2013	1381853785	0	1474	1474	1474
Tue Oct 15 17:16:08 2013	1381853768	0	1481	1481	1481
Tue Oct 15 17:16:08 2013	1381853768	0	1484	1484	1484
Tue Oct 15 17:16:08 2013	1381853768	0	1499	1499	1499
Tue Oct 15 17:16:25 2013	1381853785	0	1516	1516	1516
Tue Oct 15 17:16:25 2013	1381853785	0	1519	1519	1519
Tue Oct 15 17:16:07 2013	1381853767	67	1459	1526	1456
Tue Oct 15 17:16:25 2013	1381853785	0	1531	1531	1531
Tue Oct 15 17:16:25 2013	1381853785	0	1538	1538	1531
Tue Oct 15 17:16:25 2013	1381853785	0	1545	1545	1545
Tue Oct 15 17:16:09 2013	1381853769	0	1553	1553	1549
Tue Oct 15 17:16:24 2013	1381853784	0	1560	1560	1560
Tue Oct 15 17:16:10 2013	1381853770	0	1565	1565	1562
Tue Oct 15 17:16:25 2013	1381853785	0	1568	1568	1567
Tue Oct 15 17:16:15 2013	1381853775	0	1569	1569	1569
Tue Oct 15 17:16:16 2013	1381853776	0	1569	1569	1529
Tue Oct 15 17:16:19 2013	1381853779	0	1570	1570	1570
Tue Oct 15 17:16:08 2013	1381853768	0	1578	1578	1578
Tue Oct 15 17:16:16 2013	1381853776	0	1579	1579	1579
Tue Oct 15 17:16:12 2013	1381853772	0	1586	1586	1582
Tue Oct 15 17:16:14 2013	1381853774	0	1588	1588	1588
