starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:21:54 2013	1381854114	9	625	634	625
Tue Oct 15 17:21:54 2013	1381854114	60	692	752	692
Tue Oct 15 17:21:54 2013	1381854114	44	719	763	719
Tue Oct 15 17:21:54 2013	1381854114	9	966	976	966
Tue Oct 15 17:21:54 2013	1381854114	60	957	1017	949
Tue Oct 15 17:21:54 2013	1381854114	44	984	1028	977
Tue Oct 15 17:21:54 2013	1381854114	52	991	1043	982
Tue Oct 15 17:21:54 2013	1381854114	36	1011	1047	984
Tue Oct 15 17:21:54 2013	1381854114	1	1050	1051	1015
Tue Oct 15 17:21:54 2013	1381854114	21	1048	1070	1048
Tue Oct 15 17:21:54 2013	1381854114	9	1071	1081	1050
Tue Oct 15 17:21:54 2013	1381854114	29	1064	1093	1057
Tue Oct 15 17:21:54 2013	1381854114	9	1088	1097	1065
Tue Oct 15 17:21:54 2013	1381854114	68	1033	1100	1005
Tue Oct 15 17:21:54 2013	1381854114	44	1057	1101	1033
Tue Oct 15 17:21:54 2013	1381854114	21	1080	1101	1072
Tue Oct 15 17:21:54 2013	1381854114	44	1060	1104	1028
Tue Oct 15 17:21:54 2013	1381854114	21	1088	1109	1059
Tue Oct 15 17:21:54 2013	1381854114	52	1067	1119	1067
Tue Oct 15 17:21:54 2013	1381854114	52	1067	1119	1059
Tue Oct 15 17:21:54 2013	1381854114	44	1087	1131	1062
Tue Oct 15 17:21:54 2013	1381854114	44	1095	1139	1095
Tue Oct 15 17:21:54 2013	1381854114	44	1100	1144	1100
Tue Oct 15 17:21:54 2013	1381854114	44	1120	1164	1120
Tue Oct 15 17:22:12 2013	1381854132	0	1196	1196	1196
Tue Oct 15 17:21:54 2013	1381854114	68	1151	1218	1151
Tue Oct 15 17:22:12 2013	1381854132	0	1286	1286	1286
Tue Oct 15 17:22:12 2013	1381854132	0	1317	1318	1317
Tue Oct 15 17:22:12 2013	1381854132	0	1458	1458	1457
Tue Oct 15 17:22:12 2013	1381854132	0	1526	1526	1526
Tue Oct 15 17:22:12 2013	1381854132	0	1545	1545	1545
Tue Oct 15 17:22:12 2013	1381854132	0	1585	1585	1585
Tue Oct 15 17:22:12 2013	1381854132	0	1626	1626	1626
Tue Oct 15 17:21:56 2013	1381854116	0	1648	1648	1648
Tue Oct 15 17:22:12 2013	1381854132	0	1659	1659	1659
Tue Oct 15 17:21:54 2013	1381854114	68	1597	1665	1593
Tue Oct 15 17:22:12 2013	1381854132	0	1667	1667	1666
Tue Oct 15 17:21:55 2013	1381854115	0	1700	1700	1700
Tue Oct 15 17:22:12 2013	1381854132	0	1703	1703	1703
Tue Oct 15 17:21:54 2013	1381854114	0	1740	1740	1736
Tue Oct 15 17:21:57 2013	1381854117	0	1749	1750	1724
