starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 04 10:17:25 2013	1383560245	0	571	571	571
Mon Nov 04 10:17:25 2013	1383560245	0	590	590	590
Mon Nov 04 10:17:06 2013	1383560226	10	590	600	590
Mon Nov 04 10:17:06 2013	1383560226	10	610	620	598
Mon Nov 04 10:17:06 2013	1383560226	22	603	625	603
Mon Nov 04 10:17:06 2013	1383560226	22	626	648	626
Mon Nov 04 10:17:06 2013	1383560226	22	630	652	630
Mon Nov 04 10:17:06 2013	1383560226	1	651	653	643
Mon Nov 04 10:17:07 2013	1383560227	0	653	653	653
Mon Nov 04 10:17:06 2013	1383560226	2	656	658	656
Mon Nov 04 10:17:06 2013	1383560226	31	628	659	628
Mon Nov 04 10:17:07 2013	1383560227	0	663	663	663
Mon Nov 04 10:17:07 2013	1383560227	0	664	664	664
Mon Nov 04 10:17:07 2013	1383560227	0	667	667	667
Mon Nov 04 10:17:07 2013	1383560227	0	676	676	676
Mon Nov 04 10:17:06 2013	1383560226	40	638	679	638
Mon Nov 04 10:17:07 2013	1383560227	0	679	679	679
Mon Nov 04 10:17:07 2013	1383560227	0	679	680	679
Mon Nov 04 10:17:08 2013	1383560228	0	687	687	687
Mon Nov 04 10:17:07 2013	1383560227	0	687	688	687
Mon Nov 04 10:17:12 2013	1383560232	0	701	701	700
Mon Nov 04 10:17:06 2013	1383560226	1	702	703	702
Mon Nov 04 10:17:12 2013	1383560232	0	706	706	706
Mon Nov 04 10:17:12 2013	1383560232	0	709	709	709
Mon Nov 04 10:17:07 2013	1383560227	0	710	710	710
Mon Nov 04 10:17:12 2013	1383560232	0	710	711	710
Mon Nov 04 10:17:06 2013	1383560226	40	673	713	672
Mon Nov 04 10:17:06 2013	1383560226	31	684	715	674
Mon Nov 04 10:17:25 2013	1383560245	0	715	715	715
Mon Nov 04 10:17:06 2013	1383560226	22	694	716	685
Mon Nov 04 10:17:08 2013	1383560228	0	718	718	718
Mon Nov 04 10:17:06 2013	1383560226	30	688	719	688
Mon Nov 04 10:17:12 2013	1383560232	0	720	720	720
Mon Nov 04 10:17:06 2013	1383560226	22	698	720	698
Mon Nov 04 10:17:12 2013	1383560232	0	722	722	722
Mon Nov 04 10:17:09 2013	1383560229	0	735	735	735
Mon Nov 04 10:17:16 2013	1383560236	0	736	736	736
Mon Nov 04 10:17:12 2013	1383560232	0	738	738	738
Mon Nov 04 10:17:10 2013	1383560230	0	738	738	738
Mon Nov 04 10:17:06 2013	1383560226	1	738	740	738
Mon Nov 04 10:17:14 2013	1383560234	0	746	746	746
Mon Nov 04 10:17:10 2013	1383560230	0	757	757	757
Mon Nov 04 10:17:10 2013	1383560230	0	758	758	758
Mon Nov 04 10:17:16 2013	1383560236	0	758	758	758
Mon Nov 04 10:17:17 2013	1383560237	0	760	760	760
Mon Nov 04 10:17:25 2013	1383560245	0	760	760	760
Mon Nov 04 10:17:09 2013	1383560229	0	760	760	760
Mon Nov 04 10:17:13 2013	1383560233	0	761	761	761
Mon Nov 04 10:17:11 2013	1383560231	0	764	764	764
Mon Nov 04 10:17:11 2013	1383560231	0	767	767	767
Mon Nov 04 10:17:10 2013	1383560230	0	769	769	769
Mon Nov 04 10:17:10 2013	1383560230	0	769	769	769
Mon Nov 04 10:17:11 2013	1383560231	0	770	770	770
Mon Nov 04 10:17:25 2013	1383560245	0	770	770	770
Mon Nov 04 10:17:20 2013	1383560240	0	775	776	775
Mon Nov 04 10:17:11 2013	1383560231	0	776	776	776
Mon Nov 04 10:17:24 2013	1383560244	0	777	777	777
Mon Nov 04 10:17:10 2013	1383560230	0	778	778	778
Mon Nov 04 10:17:11 2013	1383560231	0	779	779	779
Mon Nov 04 10:17:25 2013	1383560245	0	779	779	779
Mon Nov 04 10:17:09 2013	1383560229	0	780	780	780
Mon Nov 04 10:17:20 2013	1383560240	0	781	781	781
Mon Nov 04 10:17:08 2013	1383560228	0	786	786	786
Mon Nov 04 10:17:10 2013	1383560230	0	786	786	786
Mon Nov 04 10:17:11 2013	1383560231	0	786	787	786
Mon Nov 04 10:17:11 2013	1383560231	0	787	787	787
Mon Nov 04 10:17:20 2013	1383560240	0	793	793	793
Mon Nov 04 10:17:17 2013	1383560237	0	797	797	797
Mon Nov 04 10:17:11 2013	1383560231	0	799	799	799
Mon Nov 04 10:17:11 2013	1383560231	0	800	800	800
Mon Nov 04 10:17:11 2013	1383560231	0	801	801	801
Mon Nov 04 10:17:10 2013	1383560230	0	802	802	802
Mon Nov 04 10:17:22 2013	1383560242	0	802	802	802
Mon Nov 04 10:17:11 2013	1383560231	0	805	805	805
Mon Nov 04 10:17:09 2013	1383560229	0	806	806	806
Mon Nov 04 10:17:11 2013	1383560231	0	807	807	807
Mon Nov 04 10:17:10 2013	1383560230	0	807	807	807
