starttime	seconds	ctime	dtime	ttime	wait
Mon Nov 04 11:37:26 2013	1383565046	4	1395	1399	1395
Mon Nov 04 11:37:26 2013	1383565046	3	1411	1414	1411
Mon Nov 04 11:37:44 2013	1383565064	0	1980	1980	1980
Mon Nov 04 11:37:26 2013	1383565046	3	2008	2011	2008
Mon Nov 04 11:37:44 2013	1383565064	0	2041	2041	2041
Mon Nov 04 11:37:26 2013	1383565046	2	2082	2084	2082
Mon Nov 04 11:37:26 2013	1383565046	2	2131	2133	2131
Mon Nov 04 11:37:43 2013	1383565063	0	2147	2147	2147
Mon Nov 04 11:37:44 2013	1383565064	0	2214	2214	2214
Mon Nov 04 11:37:44 2013	1383565064	0	2219	2219	2219
Mon Nov 04 11:37:44 2013	1383565064	0	2265	2265	2265
Mon Nov 04 11:37:43 2013	1383565063	0	2283	2283	2283
Mon Nov 04 11:37:43 2013	1383565063	0	2333	2333	2333
Mon Nov 04 11:37:43 2013	1383565063	0	2339	2339	2339
Mon Nov 04 11:37:43 2013	1383565063	0	2374	2374	2374
Mon Nov 04 11:37:43 2013	1383565063	0	2402	2402	2402
Mon Nov 04 11:37:43 2013	1383565063	0	2410	2410	2410
Mon Nov 04 11:37:43 2013	1383565063	0	2450	2450	2450
Mon Nov 04 11:37:43 2013	1383565063	0	2474	2474	2474
Mon Nov 04 11:37:43 2013	1383565063	0	2525	2525	2525
Mon Nov 04 11:37:26 2013	1383565046	3	2532	2535	2532
Mon Nov 04 11:37:43 2013	1383565063	0	2548	2548	2548
Mon Nov 04 11:37:43 2013	1383565063	0	2558	2558	2558
Mon Nov 04 11:37:43 2013	1383565063	0	2585	2585	2585
Mon Nov 04 11:37:26 2013	1383565046	3	2585	2588	2585
Mon Nov 04 11:37:26 2013	1383565046	3	2599	2602	2599
Mon Nov 04 11:37:43 2013	1383565063	0	2608	2608	2608
Mon Nov 04 11:37:43 2013	1383565063	0	2614	2614	2614
Mon Nov 04 11:37:26 2013	1383565046	3	2621	2623	2621
Mon Nov 04 11:37:26 2013	1383565046	2	2633	2635	2633
