starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 16:50:31 2013	1381852231	2	540	542	540
Tue Oct 15 16:50:31 2013	1381852231	2	562	564	562
Tue Oct 15 16:50:31 2013	1381852231	2	569	571	569
Tue Oct 15 16:50:31 2013	1381852231	2	774	776	773
Tue Oct 15 16:50:31 2013	1381852231	2	777	779	777
Tue Oct 15 16:50:31 2013	1381852231	2	802	804	784
Tue Oct 15 16:50:31 2013	1381852231	2	802	804	793
Tue Oct 15 16:51:11 2013	1381852271	1	821	822	821
Tue Oct 15 16:50:31 2013	1381852231	2	821	823	796
Tue Oct 15 16:50:31 2013	1381852231	2	821	823	798
Tue Oct 15 16:50:31 2013	1381852231	2	821	823	820
Tue Oct 15 16:50:31 2013	1381852231	2	821	823	820
Tue Oct 15 16:50:31 2013	1381852231	2	821	823	801
Tue Oct 15 16:50:32 2013	1381852232	0	849	849	849
Tue Oct 15 16:50:31 2013	1381852231	2	851	853	838
Tue Oct 15 16:50:31 2013	1381852231	2	856	858	856
Tue Oct 15 16:51:11 2013	1381852271	1	883	884	883
Tue Oct 15 16:50:31 2013	1381852231	2	885	886	885
Tue Oct 15 16:50:31 2013	1381852231	2	887	889	887
Tue Oct 15 16:50:32 2013	1381852232	1	896	896	896
Tue Oct 15 16:50:32 2013	1381852232	1	900	901	900
Tue Oct 15 16:50:32 2013	1381852232	1	905	906	905
Tue Oct 15 16:50:32 2013	1381852232	0	913	913	913
Tue Oct 15 16:50:31 2013	1381852231	2	913	915	894
Tue Oct 15 16:50:31 2013	1381852231	2	913	915	899
Tue Oct 15 16:50:31 2013	1381852231	2	913	915	898
Tue Oct 15 16:50:33 2013	1381852233	1	924	925	924
Tue Oct 15 16:50:31 2013	1381852231	2	925	927	910
Tue Oct 15 16:51:11 2013	1381852271	0	952	953	952
Tue Oct 15 16:50:33 2013	1381852233	1	953	954	953
Tue Oct 15 16:50:33 2013	1381852233	0	954	954	931
Tue Oct 15 16:50:33 2013	1381852233	1	972	973	972
Tue Oct 15 16:50:33 2013	1381852233	1	978	979	978
Tue Oct 15 16:50:34 2013	1381852234	0	996	996	996
Tue Oct 15 16:50:33 2013	1381852233	1	1000	1001	1000
Tue Oct 15 16:50:33 2013	1381852233	1	1012	1013	1012
Tue Oct 15 16:50:32 2013	1381852232	0	1013	1013	1013
Tue Oct 15 16:51:11 2013	1381852271	1	1026	1027	1026
Tue Oct 15 16:51:11 2013	1381852271	0	1049	1049	1049
Tue Oct 15 16:50:38 2013	1381852238	1	1055	1056	1055
Tue Oct 15 16:50:31 2013	1381852231	1	1058	1059	1058
Tue Oct 15 16:50:31 2013	1381852231	1	1067	1067	1067
Tue Oct 15 16:50:39 2013	1381852239	1	1072	1072	1072
Tue Oct 15 16:51:11 2013	1381852271	0	1074	1075	1074
Tue Oct 15 16:50:36 2013	1381852236	1	1075	1075	1075
Tue Oct 15 16:50:32 2013	1381852232	1	1077	1077	1077
Tue Oct 15 16:51:11 2013	1381852271	1	1094	1095	1094
Tue Oct 15 16:50:48 2013	1381852248	0	1097	1098	1097
Tue Oct 15 16:51:05 2013	1381852265	1	1110	1111	1110
Tue Oct 15 16:50:48 2013	1381852248	0	1116	1117	1116
Tue Oct 15 16:51:07 2013	1381852267	1	1122	1123	1097
Tue Oct 15 16:51:07 2013	1381852267	1	1124	1125	1124
Tue Oct 15 16:50:33 2013	1381852233	0	1126	1126	1126
Tue Oct 15 16:50:33 2013	1381852233	0	1137	1137	1136
Tue Oct 15 16:50:40 2013	1381852240	1	1137	1138	1137
Tue Oct 15 16:50:35 2013	1381852235	0	1144	1145	1144
Tue Oct 15 16:50:32 2013	1381852232	1	1144	1145	1144
Tue Oct 15 16:50:34 2013	1381852234	0	1145	1145	1145
Tue Oct 15 16:50:33 2013	1381852233	1	1149	1150	1121
Tue Oct 15 16:51:05 2013	1381852265	1	1150	1151	1150
Tue Oct 15 16:50:32 2013	1381852232	1	1152	1153	1152
Tue Oct 15 16:50:36 2013	1381852236	1	1156	1157	1156
Tue Oct 15 16:50:32 2013	1381852232	0	1162	1162	1154
Tue Oct 15 16:51:07 2013	1381852267	1	1162	1163	1162
Tue Oct 15 16:51:05 2013	1381852265	1	1162	1163	1162
Tue Oct 15 16:50:33 2013	1381852233	1	1163	1164	1147
Tue Oct 15 16:51:11 2013	1381852271	0	1174	1174	1174
Tue Oct 15 16:51:11 2013	1381852271	1	1174	1175	1174
Tue Oct 15 16:50:38 2013	1381852238	1	1185	1186	1185
Tue Oct 15 16:50:54 2013	1381852254	1	1191	1191	1190
Tue Oct 15 16:50:34 2013	1381852234	1	1193	1194	1193
Tue Oct 15 16:50:46 2013	1381852246	1	1203	1204	1203
Tue Oct 15 16:51:11 2013	1381852271	0	1204	1205	1204
Tue Oct 15 16:50:58 2013	1381852258	1	1206	1207	1206
Tue Oct 15 16:51:00 2013	1381852260	1	1208	1209	1208
Tue Oct 15 16:51:11 2013	1381852271	1	1211	1211	1211
Tue Oct 15 16:51:08 2013	1381852268	1	1212	1213	1212
Tue Oct 15 16:50:36 2013	1381852236	1	1218	1218	1218
Tue Oct 15 16:50:33 2013	1381852233	1	1219	1220	1219
Tue Oct 15 16:50:50 2013	1381852250	1	1223	1223	1223
Tue Oct 15 16:50:52 2013	1381852252	1	1230	1231	1230
Tue Oct 15 16:50:49 2013	1381852249	1	1232	1232	1232
Tue Oct 15 16:50:47 2013	1381852247	1	1232	1233	1232
Tue Oct 15 16:50:49 2013	1381852249	1	1233	1234	1233
Tue Oct 15 16:50:34 2013	1381852234	0	1238	1238	1238
Tue Oct 15 16:50:36 2013	1381852236	1	1243	1244	1243
Tue Oct 15 16:50:48 2013	1381852248	1	1244	1245	1244
Tue Oct 15 16:50:41 2013	1381852241	1	1244	1245	1244
Tue Oct 15 16:51:04 2013	1381852264	1	1246	1247	1246
Tue Oct 15 16:50:36 2013	1381852236	1	1247	1248	1247
Tue Oct 15 16:50:36 2013	1381852236	0	1250	1250	1250
Tue Oct 15 16:50:36 2013	1381852236	1	1251	1251	1250
Tue Oct 15 16:50:35 2013	1381852235	1	1252	1253	1252
Tue Oct 15 16:50:35 2013	1381852235	1	1254	1255	1254
Tue Oct 15 16:50:58 2013	1381852258	0	1256	1257	1256
Tue Oct 15 16:50:35 2013	1381852235	1	1260	1261	1244
Tue Oct 15 16:51:10 2013	1381852270	1	1262	1263	1262
Tue Oct 15 16:50:33 2013	1381852233	1	1263	1264	1242
Tue Oct 15 16:50:51 2013	1381852251	0	1265	1265	1265
Tue Oct 15 16:50:36 2013	1381852236	1	1266	1267	1266
Tue Oct 15 16:50:47 2013	1381852247	1	1267	1268	1267
Tue Oct 15 16:50:35 2013	1381852235	0	1268	1268	1268
Tue Oct 15 16:50:35 2013	1381852235	0	1268	1268	1268
Tue Oct 15 16:50:36 2013	1381852236	1	1270	1271	1270
Tue Oct 15 16:50:39 2013	1381852239	1	1272	1273	1272
Tue Oct 15 16:50:41 2013	1381852241	0	1274	1275	1274
Tue Oct 15 16:50:33 2013	1381852233	1	1274	1275	1274
Tue Oct 15 16:50:35 2013	1381852235	1	1276	1277	1276
Tue Oct 15 16:51:10 2013	1381852270	1	1277	1278	1277
Tue Oct 15 16:50:32 2013	1381852232	1	1278	1279	1278
Tue Oct 15 16:50:31 2013	1381852231	2	1277	1279	1277
Tue Oct 15 16:50:32 2013	1381852232	0	1279	1280	1279
Tue Oct 15 16:51:09 2013	1381852269	1	1279	1280	1279
Tue Oct 15 16:50:58 2013	1381852258	1	1280	1281	1280
Tue Oct 15 16:50:35 2013	1381852235	1	1283	1283	1283
Tue Oct 15 16:50:39 2013	1381852239	1	1283	1283	1283
Tue Oct 15 16:50:58 2013	1381852258	1	1283	1284	1283
Tue Oct 15 16:50:36 2013	1381852236	1	1284	1285	1284
Tue Oct 15 16:51:08 2013	1381852268	1	1285	1286	1285
Tue Oct 15 16:50:55 2013	1381852255	1	1286	1287	1286
Tue Oct 15 16:50:53 2013	1381852253	0	1290	1291	1290
Tue Oct 15 16:51:10 2013	1381852270	0	1290	1291	1290
Tue Oct 15 16:50:57 2013	1381852257	1	1291	1292	1291
Tue Oct 15 16:51:03 2013	1381852263	1	1292	1293	1292
Tue Oct 15 16:50:36 2013	1381852236	1	1293	1294	1293
Tue Oct 15 16:50:59 2013	1381852259	0	1295	1296	1295
Tue Oct 15 16:50:56 2013	1381852256	7	1295	1302	1295
Tue Oct 15 16:50:34 2013	1381852234	1	1301	1302	1301
Tue Oct 15 16:51:02 2013	1381852262	1	1303	1304	1303
Tue Oct 15 16:51:04 2013	1381852264	0	1304	1305	1304
Tue Oct 15 16:50:47 2013	1381852247	0	1308	1309	1308
Tue Oct 15 16:50:59 2013	1381852259	0	1309	1310	1309
Tue Oct 15 16:50:33 2013	1381852233	1	1310	1311	1310
Tue Oct 15 16:50:54 2013	1381852254	1	1310	1311	1310
Tue Oct 15 16:50:50 2013	1381852250	0	1311	1312	1311
Tue Oct 15 16:51:11 2013	1381852271	1	1311	1312	1311
Tue Oct 15 16:51:05 2013	1381852265	1	1315	1316	1315
Tue Oct 15 16:50:59 2013	1381852259	0	1316	1317	1316
Tue Oct 15 16:50:32 2013	1381852232	1	1317	1317	1317
