starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 15 17:39:44 2013	1381855184	1	566	567	550
Tue Oct 15 17:39:44 2013	1381855184	1	627	628	626
Tue Oct 15 17:39:44 2013	1381855184	1	639	640	639
Tue Oct 15 17:39:44 2013	1381855184	1	748	749	748
Tue Oct 15 17:39:44 2013	1381855184	1	781	782	760
Tue Oct 15 17:39:44 2013	1381855184	1	787	788	787
Tue Oct 15 17:39:44 2013	1381855184	1	809	810	809
Tue Oct 15 17:39:44 2013	1381855184	1	813	814	813
Tue Oct 15 17:39:44 2013	1381855184	1	817	818	817
Tue Oct 15 17:39:44 2013	1381855184	1	833	834	833
Tue Oct 15 17:39:44 2013	1381855184	1	834	836	834
Tue Oct 15 17:39:44 2013	1381855184	1	837	839	837
Tue Oct 15 17:39:44 2013	1381855184	1	843	844	843
Tue Oct 15 17:39:44 2013	1381855184	1	867	868	856
Tue Oct 15 17:39:44 2013	1381855184	1	867	868	853
Tue Oct 15 17:39:44 2013	1381855184	1	872	873	872
Tue Oct 15 17:39:44 2013	1381855184	1	884	885	859
Tue Oct 15 17:39:44 2013	1381855184	1	884	885	867
Tue Oct 15 17:39:44 2013	1381855184	1	884	885	858
Tue Oct 15 17:39:44 2013	1381855184	1	908	909	908
Tue Oct 15 17:40:02 2013	1381855202	0	1212	1213	1212
Tue Oct 15 17:40:02 2013	1381855202	1	1289	1290	1289
Tue Oct 15 17:40:02 2013	1381855202	1	1303	1304	1303
Tue Oct 15 17:40:02 2013	1381855202	1	1313	1314	1313
Tue Oct 15 17:39:44 2013	1381855184	1	1325	1326	1325
Tue Oct 15 17:40:02 2013	1381855202	0	1328	1329	1328
Tue Oct 15 17:39:44 2013	1381855184	1	1381	1383	1381
Tue Oct 15 17:39:44 2013	1381855184	1	1402	1403	1402
Tue Oct 15 17:40:02 2013	1381855202	12	1414	1426	1414
Tue Oct 15 17:39:44 2013	1381855184	1	1458	1459	1458
Tue Oct 15 17:40:02 2013	1381855202	1	1484	1484	1484
Tue Oct 15 17:40:02 2013	1381855202	1	1494	1495	1494
Tue Oct 15 17:40:02 2013	1381855202	1	1502	1503	1502
Tue Oct 15 17:40:02 2013	1381855202	12	1513	1525	1513
Tue Oct 15 17:40:02 2013	1381855202	12	1560	1572	1560
