starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 18:15:17 2013	1383675317	0	517	517	513
Tue Nov 05 18:15:17 2013	1383675317	0	528	528	521
Tue Nov 05 18:15:17 2013	1383675317	0	536	536	529
Tue Nov 05 18:15:17 2013	1383675317	0	541	541	533
Tue Nov 05 18:15:15 2013	1383675315	0	550	550	550
Tue Nov 05 18:15:13 2013	1383675313	4	560	564	560
Tue Nov 05 18:15:13 2013	1383675313	3	573	577	573
Tue Nov 05 18:15:17 2013	1383675317	0	577	577	577
Tue Nov 05 18:15:17 2013	1383675317	0	583	584	583
Tue Nov 05 18:15:17 2013	1383675317	0	584	584	584
Tue Nov 05 18:15:13 2013	1383675313	4	583	587	566
Tue Nov 05 18:15:17 2013	1383675317	0	588	588	588
Tue Nov 05 18:15:17 2013	1383675317	0	591	591	591
Tue Nov 05 18:15:17 2013	1383675317	0	595	595	595
Tue Nov 05 18:15:17 2013	1383675317	0	604	605	604
Tue Nov 05 18:15:17 2013	1383675317	0	606	606	598
Tue Nov 05 18:15:17 2013	1383675317	0	612	612	612
Tue Nov 05 18:15:17 2013	1383675317	0	613	614	613
Tue Nov 05 18:15:17 2013	1383675317	0	615	615	615
Tue Nov 05 18:15:14 2013	1383675314	0	615	615	615
Tue Nov 05 18:15:13 2013	1383675313	4	613	617	613
Tue Nov 05 18:15:13 2013	1383675313	0	618	618	618
Tue Nov 05 18:15:14 2013	1383675314	0	629	629	625
Tue Nov 05 18:15:15 2013	1383675315	0	630	630	630
Tue Nov 05 18:15:14 2013	1383675314	0	631	631	631
Tue Nov 05 18:15:17 2013	1383675317	0	633	633	633
Tue Nov 05 18:15:16 2013	1383675316	0	643	643	643
Tue Nov 05 18:15:17 2013	1383675317	0	644	644	644
Tue Nov 05 18:15:17 2013	1383675317	0	645	645	645
Tue Nov 05 18:15:17 2013	1383675317	0	646	646	639
Tue Nov 05 18:15:16 2013	1383675316	0	647	647	647
Tue Nov 05 18:15:14 2013	1383675314	0	650	650	650
Tue Nov 05 18:15:14 2013	1383675314	0	652	652	644
Tue Nov 05 18:15:17 2013	1383675317	0	652	653	652
Tue Nov 05 18:15:17 2013	1383675317	0	653	653	653
Tue Nov 05 18:15:15 2013	1383675315	0	657	657	657
Tue Nov 05 18:15:15 2013	1383675315	0	659	659	659
Tue Nov 05 18:15:15 2013	1383675315	0	659	659	657
Tue Nov 05 18:15:14 2013	1383675314	0	660	660	660
Tue Nov 05 18:15:14 2013	1383675314	0	662	662	662
Tue Nov 05 18:15:15 2013	1383675315	0	662	662	662
Tue Nov 05 18:15:14 2013	1383675314	0	665	665	665
Tue Nov 05 18:15:14 2013	1383675314	0	666	666	666
Tue Nov 05 18:15:16 2013	1383675316	0	666	667	666
Tue Nov 05 18:15:16 2013	1383675316	0	668	668	668
Tue Nov 05 18:15:13 2013	1383675313	54	614	668	613
Tue Nov 05 18:15:15 2013	1383675315	0	669	669	669
Tue Nov 05 18:15:15 2013	1383675315	0	670	670	670
Tue Nov 05 18:15:17 2013	1383675317	0	671	671	671
Tue Nov 05 18:15:15 2013	1383675315	0	671	671	670
Tue Nov 05 18:15:16 2013	1383675316	0	672	672	650
Tue Nov 05 18:15:14 2013	1383675314	0	672	672	672
Tue Nov 05 18:15:14 2013	1383675314	0	673	673	673
Tue Nov 05 18:15:14 2013	1383675314	0	674	674	674
Tue Nov 05 18:15:17 2013	1383675317	0	674	674	674
Tue Nov 05 18:15:15 2013	1383675315	0	674	674	674
Tue Nov 05 18:15:15 2013	1383675315	0	675	675	675
Tue Nov 05 18:15:15 2013	1383675315	0	678	678	678
Tue Nov 05 18:15:15 2013	1383675315	0	678	678	678
Tue Nov 05 18:15:16 2013	1383675316	0	682	682	682
Tue Nov 05 18:15:15 2013	1383675315	0	682	682	682
Tue Nov 05 18:15:16 2013	1383675316	0	683	683	683
Tue Nov 05 18:15:15 2013	1383675315	0	684	684	684
Tue Nov 05 18:15:13 2013	1383675313	20	665	685	665
Tue Nov 05 18:15:13 2013	1383675313	4	683	687	683
Tue Nov 05 18:15:17 2013	1383675317	0	688	688	684
Tue Nov 05 18:15:16 2013	1383675316	0	691	691	691
Tue Nov 05 18:15:17 2013	1383675317	0	691	691	691
Tue Nov 05 18:15:15 2013	1383675315	0	693	693	692
Tue Nov 05 18:15:14 2013	1383675314	0	695	695	695
Tue Nov 05 18:15:14 2013	1383675314	0	696	696	696
