starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 10:36:14 2013	1383647774	0	209	209	209
Tue Nov 05 10:36:12 2013	1383647772	0	244	244	244
Tue Nov 05 10:36:19 2013	1383647779	0	250	250	250
Tue Nov 05 10:36:12 2013	1383647772	0	256	256	256
Tue Nov 05 10:36:15 2013	1383647775	0	262	262	262
Tue Nov 05 10:36:17 2013	1383647777	0	262	262	262
Tue Nov 05 10:36:12 2013	1383647772	0	269	269	269
Tue Nov 05 10:36:14 2013	1383647774	0	269	269	269
Tue Nov 05 10:36:12 2013	1383647772	0	278	278	278
Tue Nov 05 10:36:19 2013	1383647779	0	279	279	279
Tue Nov 05 10:36:11 2013	1383647771	0	283	283	283
Tue Nov 05 10:36:12 2013	1383647772	0	285	285	285
Tue Nov 05 10:36:16 2013	1383647776	0	285	285	285
Tue Nov 05 10:36:12 2013	1383647772	0	291	291	291
Tue Nov 05 10:36:11 2013	1383647771	0	292	292	292
Tue Nov 05 10:36:13 2013	1383647773	0	296	296	296
Tue Nov 05 10:36:16 2013	1383647776	0	297	297	297
Tue Nov 05 10:36:13 2013	1383647773	0	298	298	298
Tue Nov 05 10:36:17 2013	1383647777	0	300	300	300
Tue Nov 05 10:36:12 2013	1383647772	0	302	302	302
Tue Nov 05 10:36:12 2013	1383647772	0	302	302	302
Tue Nov 05 10:36:15 2013	1383647775	0	302	302	302
Tue Nov 05 10:36:16 2013	1383647776	0	303	303	303
Tue Nov 05 10:36:12 2013	1383647772	0	304	304	304
Tue Nov 05 10:36:12 2013	1383647772	0	304	304	304
Tue Nov 05 10:36:15 2013	1383647775	0	305	305	305
Tue Nov 05 10:36:16 2013	1383647776	0	305	305	305
Tue Nov 05 10:36:12 2013	1383647772	0	305	305	305
Tue Nov 05 10:36:16 2013	1383647776	0	308	308	308
Tue Nov 05 10:36:19 2013	1383647779	0	310	310	310
Tue Nov 05 10:36:15 2013	1383647775	0	310	310	310
Tue Nov 05 10:36:15 2013	1383647775	0	311	311	311
Tue Nov 05 10:36:14 2013	1383647774	0	312	312	312
Tue Nov 05 10:36:15 2013	1383647775	0	314	314	314
Tue Nov 05 10:36:12 2013	1383647772	0	315	315	315
Tue Nov 05 10:36:13 2013	1383647773	0	316	316	316
Tue Nov 05 10:36:11 2013	1383647771	0	319	319	319
Tue Nov 05 10:36:11 2013	1383647771	0	319	319	319
