starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 05 11:50:12 2013	1383652212	2	286	288	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	286	289	286
Tue Nov 05 11:50:12 2013	1383652212	3	287	290	287
Tue Nov 05 11:50:15 2013	1383652215	0	340	340	340
Tue Nov 05 11:50:15 2013	1383652215	0	347	347	347
Tue Nov 05 11:50:15 2013	1383652215	0	357	357	357
Tue Nov 05 11:50:16 2013	1383652216	0	360	360	360
Tue Nov 05 11:50:16 2013	1383652216	0	367	367	367
Tue Nov 05 11:50:16 2013	1383652216	0	380	380	380
Tue Nov 05 11:50:15 2013	1383652215	0	387	387	387
Tue Nov 05 11:50:16 2013	1383652216	0	396	396	396
Tue Nov 05 11:50:15 2013	1383652215	0	399	399	399
Tue Nov 05 11:50:15 2013	1383652215	0	402	402	402
Tue Nov 05 11:50:15 2013	1383652215	0	410	410	410
Tue Nov 05 11:50:15 2013	1383652215	0	413	414	413
Tue Nov 05 11:50:15 2013	1383652215	0	426	426	426
Tue Nov 05 11:50:15 2013	1383652215	0	434	435	434
Tue Nov 05 11:50:15 2013	1383652215	0	435	435	435
Tue Nov 05 11:50:15 2013	1383652215	0	440	440	440
Tue Nov 05 11:50:15 2013	1383652215	0	445	446	445
Tue Nov 05 11:50:15 2013	1383652215	0	446	446	446
Tue Nov 05 11:50:15 2013	1383652215	0	460	460	460
Tue Nov 05 11:50:15 2013	1383652215	0	467	467	467
Tue Nov 05 11:50:15 2013	1383652215	0	470	470	470
Tue Nov 05 11:50:15 2013	1383652215	0	476	476	476
Tue Nov 05 11:50:15 2013	1383652215	0	477	477	477
Tue Nov 05 11:50:15 2013	1383652215	0	484	484	484
Tue Nov 05 11:50:15 2013	1383652215	0	489	489	489
Tue Nov 05 11:50:15 2013	1383652215	0	490	490	490
Tue Nov 05 11:50:15 2013	1383652215	0	492	492	492
Tue Nov 05 11:50:15 2013	1383652215	0	492	492	492
Tue Nov 05 11:50:15 2013	1383652215	0	493	493	493
Tue Nov 05 11:50:15 2013	1383652215	0	495	495	495
Tue Nov 05 11:50:15 2013	1383652215	0	498	498	498
Tue Nov 05 11:50:15 2013	1383652215	0	501	501	501
Tue Nov 05 11:50:15 2013	1383652215	0	512	512	512
Tue Nov 05 11:50:15 2013	1383652215	0	513	513	513
Tue Nov 05 11:50:15 2013	1383652215	0	515	515	515
Tue Nov 05 11:50:14 2013	1383652214	0	521	521	521
Tue Nov 05 11:50:13 2013	1383652213	0	523	523	523
Tue Nov 05 11:50:15 2013	1383652215	0	525	525	525
Tue Nov 05 11:50:15 2013	1383652215	0	536	536	536
Tue Nov 05 11:50:15 2013	1383652215	0	541	541	541
Tue Nov 05 11:50:15 2013	1383652215	0	552	552	552
Tue Nov 05 11:50:15 2013	1383652215	0	554	554	554
Tue Nov 05 11:50:15 2013	1383652215	0	554	554	554
Tue Nov 05 11:50:13 2013	1383652213	0	557	557	557
Tue Nov 05 11:50:15 2013	1383652215	0	557	557	557
Tue Nov 05 11:50:15 2013	1383652215	0	557	557	557
Tue Nov 05 11:50:15 2013	1383652215	0	558	558	558
Tue Nov 05 11:50:15 2013	1383652215	0	558	558	558
Tue Nov 05 11:50:13 2013	1383652213	0	563	563	563
Tue Nov 05 11:50:13 2013	1383652213	0	563	564	563
Tue Nov 05 11:50:13 2013	1383652213	0	566	566	566
Tue Nov 05 11:50:15 2013	1383652215	0	566	566	566
Tue Nov 05 11:50:14 2013	1383652214	0	569	569	569
Tue Nov 05 11:50:15 2013	1383652215	0	571	571	571
Tue Nov 05 11:50:12 2013	1383652212	2	571	573	571
Tue Nov 05 11:50:15 2013	1383652215	0	574	574	574
Tue Nov 05 11:50:15 2013	1383652215	0	574	574	574
Tue Nov 05 11:50:15 2013	1383652215	0	575	575	575
Tue Nov 05 11:50:13 2013	1383652213	0	575	575	575
Tue Nov 05 11:50:15 2013	1383652215	0	575	575	575
Tue Nov 05 11:50:13 2013	1383652213	0	577	577	577
Tue Nov 05 11:50:15 2013	1383652215	0	578	578	578
Tue Nov 05 11:50:15 2013	1383652215	0	579	579	579
Tue Nov 05 11:50:15 2013	1383652215	0	579	580	579
Tue Nov 05 11:50:13 2013	1383652213	0	580	580	579
Tue Nov 05 11:50:15 2013	1383652215	0	581	581	581
Tue Nov 05 11:50:14 2013	1383652214	0	581	581	581
Tue Nov 05 11:50:15 2013	1383652215	0	582	582	582
Tue Nov 05 11:50:13 2013	1383652213	0	583	583	583
Tue Nov 05 11:50:15 2013	1383652215	0	584	584	584
Tue Nov 05 11:50:14 2013	1383652214	0	585	585	585
