starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 24 12:47:16 2013	1382615236	0	3	3	3
Thu Oct 24 12:47:16 2013	1382615236	0	3	3	3
Thu Oct 24 12:47:15 2013	1382615235	0	3	3	3
Thu Oct 24 12:47:16 2013	1382615236	0	3	3	3
Thu Oct 24 12:47:21 2013	1382615241	0	4	4	3
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:16 2013	1382615236	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:21 2013	1382615241	0	4	4	4
Thu Oct 24 12:47:16 2013	1382615236	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:21 2013	1382615241	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	3
Thu Oct 24 12:47:16 2013	1382615236	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:16 2013	1382615236	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:21 2013	1382615241	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	3
Thu Oct 24 12:47:16 2013	1382615236	0	4	4	4
Thu Oct 24 12:47:15 2013	1382615235	0	4	4	4
Thu Oct 24 12:47:21 2013	1382615241	0	4	5	4
Thu Oct 24 12:47:21 2013	1382615241	0	5	5	5
Thu Oct 24 12:47:15 2013	1382615235	0	4	5	4
Thu Oct 24 12:47:21 2013	1382615241	0	5	5	4
Thu Oct 24 12:47:15 2013	1382615235	0	5	5	5
Thu Oct 24 12:47:16 2013	1382615236	0	5	5	3
Thu Oct 24 12:47:15 2013	1382615235	0	5	5	5
Thu Oct 24 12:47:15 2013	1382615235	0	5	5	5
Thu Oct 24 12:47:15 2013	1382615235	0	4	5	4
Thu Oct 24 12:47:15 2013	1382615235	0	5	5	5
Thu Oct 24 12:47:15 2013	1382615235	1	4	5	4
